Row,Column,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],Compound,Concentration,Cell Type,Cell Count,Nuclei Border - Nuclei,Nuclei Border - Nucleus Area [µm²],Nuclei Border - Nucleus Roundness,Nuclei Border - Nucleus Width [µm],Nuclei Border - Nucleus Length [µm],Nuclei Border - Nucleus Ratio Width to Length,Unnamed: 20,Group
2,2,0,5,16,215,747,"[149,708,257,796]",-470.46,987.1,,,,,1,24.811,0.981222,4.74926,6.10597,0.777806,,Ad
2,2,0,5,17,28,753,"[1,646,73,783]",-503.66,991.02,,,,,1,35.0936,0.970275,5.6547,7.03722,0.803542,,Ad
2,2,0,5,18,114,777,"[77,742,147,813]",-487.38,981.49,,,,,1,22.4891,0.77898,3.35823,6.93514,0.484234,,Ad
2,2,0,5,19,199,802,"[153,765,228,850]",-473.25,977.2,,,,,1,37.2165,0.94268,5.07343,8.20375,0.618429,,Ad
2,2,0,5,20,871,821,"[818,733,966,892]",-347.08,973.21,,,,,1,57.7154,0.912327,6.19227,11.3694,0.544645,,Ad
2,2,0,5,21,815,857,"[749,816,854,897]",-360.95,967.78,,,,,1,35.0273,0.948702,5.17698,6.85577,0.755128,,Ad
2,2,0,5,22,909,893,"[861,849,951,944]",-343.16,959.79,,,,,1,59.4402,0.721639,4.66469,14.9043,0.312977,,Ad
2,2,0,5,23,908,980,"[848,941,1056,1063]",-335.91,942.3,,,,,1,21.9584,0.977025,4.43131,5.41499,0.818342,,Ad
2,2,0,5,24,565,1035,"[538,1009,595,1059]",-405.39,934.98,,,,,1,23.7827,0.932642,4.24786,6.03218,0.7042,,Ad
2,2,0,6,1,494,61,"[427,1,564,148]",-211.54,1112.33,,,,,0,62.127,0.586033,4.38617,15.7452,0.278572,,Ad
2,2,0,6,2,582,27,"[553,1,620,64]",-196.76,1118.7,,,,,1,32.0752,0.995693,5.56006,6.69668,0.830271,,Ad
